OpCode,Drop,Rig,Region,Island,Lat,Long,Depth,Family,Genus,Species,Code,Number,Activity,Comment,Frame,Time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),TapeReader
BIOT_7097_EGMT_002_RIG5,2,RIG5,Egmont,Ile Sudest,06 41.929,71 23.556,8.5 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,Female,26190,14.5646,1127.018,10.649,14.466,4188.715,26.516,4.414,7.816,-1541.59,1058.602,-3748.093,Lauren Peel
BIOT_7097_EGMT_002_RIG5,2,RIG5,Egmont,Ile Sudest,06 41.929,71 23.556,8.5 m,Ginglymostomatidae,Nebrius,ferrugineus,37013010,1,Passing,,12259,24.5356,1874.022,3.239,13.967,1715.699,4.769,14,2.937,-140.507,24.52,-1709.76,Lauren Peel
BIOT_7097_EGMT_002_RIG5,2,RIG5,Egmont,Ile Sudest,06 41.929,71 23.556,8.5 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,,26391,14.6763,978.502,19.491,10.297,5117.004,14.751,23.296,5.702,-828.155,1005.774,-4948.364,Lauren Peel
BIOT_7097_EGMT_002_RIG5,2,RIG5,Egmont,Ile Sudest,06 41.929,71 23.556,8.5 m,Carcharhinidae,Carcharhinus,melanopterus,37018036,1,Passing,,4558,37.9707,1010.543,90.977,10.113,9190.868,18.309,37.587,3.544,2569.29,1317.189,-8725.583,Lauren Peel
BIOT_7097_EGMT_002_RIG5,2,RIG5,Egmont,Ile Sudest,06 41.929,71 23.556,8.5 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,Female,26460,14.7147,977.177,10.427,9.503,4316.696,6.389,15.743,2.973,-424.534,224.776,-4289.885,Lauren Peel
BIOT_7097_EGMT_002_RIG5,2,RIG5,Egmont,Ile Sudest,06 41.929,71 23.556,8.5 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,,26357,14.6574,1152.467,14.597,9.008,5222.622,16.139,12.964,3.311,-947.958,1099.441,-5016.81,Lauren Peel
BIOT_7097_EGMT_002_RIG5,2,RIG5,Egmont,Ile Sudest,06 41.929,71 23.556,8.5 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,Male,26404,14.6836,917.885,8.583,5.785,3414.556,19.54,19.17,9.994,-1034.894,483.01,-3217.901,Lauren Peel
BIOT_7097_EGMT_003_RIG4,3,RIG4,Egmont,Ile Sudest,06 41.925,71 23.428,10.2 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,,14051,43.2499,806.485,55.099,76.928,7591.952,28.167,27.41,10.05,3582.115,-108.133,-6692.869,Lauren Peel
BIOT_7097_EGMT_003_RIG4,3,RIG4,Egmont,Ile Sudest,06 41.925,71 23.428,10.2 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,,13887,43.1587,877.665,33.329,72.033,5435.736,20.404,38.745,1.263,-1882.442,-218.675,-5094.686,Lauren Peel
BIOT_7097_EGMT_003_RIG4,3,RIG4,Egmont,Ile Sudest,06 41.925,71 23.428,10.2 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,Male,13838,43.1315,938.912,12.392,66.234,4854.789,2.954,15.503,3.529,-233.192,90.737,-4848.337,Lauren Peel
BIOT_7097_EGMT_003_RIG4,3,RIG4,Egmont,Ile Sudest,06 41.925,71 23.428,10.2 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,,13802,43.1114,918.826,14.192,50.913,3924.346,24.783,26.283,1.493,-1553.867,-539.908,-3562.932,Lauren Peel
BIOT_7097_EGMT_003_RIG4,3,RIG4,Egmont,Ile Sudest,06 41.925,71 23.428,10.2 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,Male,13956,43.1971,1068.087,13.544,46.276,3833.427,22.107,25.789,1.573,1423.294,235.463,-3551.613,Lauren Peel
BIOT_7097_EGMT_003_RIG4,3,RIG4,Egmont,Ile Sudest,06 41.925,71 23.428,10.2 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,Male,13876,43.1526,889.61,10.857,39.805,3013.441,22.977,41.552,3.237,-1149.667,-249.149,-2774.35,Lauren Peel
BIOT_7097_EGMT_003_RIG4,3,RIG4,Egmont,Ile Sudest,06 41.925,71 23.428,10.2 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,Female,13828,43.1259,878.56,4.774,37.75,2650.591,15.049,14.78,10.826,-649.46,-227.707,-2559.685,Lauren Peel
BIOT_7097_EGMT_003_RIG4,3,RIG4,Egmont,Ile Sudest,06 41.925,71 23.428,10.2 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,Male,13837,43.1309,1064.471,7.256,37.549,2469.403,15.594,39.621,9.733,-459.732,478.862,-2378.505,Lauren Peel
BIOT_7097_EGMT_003_RIG4,3,RIG4,Egmont,Ile Sudest,06 41.925,71 23.428,10.2 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,Female,13663,43.0341,1006.791,2.624,31.952,1966.655,3.006,13.827,13.149,56.275,-86.435,-1963.949,Lauren Peel
BIOT_7097_EGMT_003_RIG4,3,RIG4,Egmont,Ile Sudest,06 41.925,71 23.428,10.2 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,Male,13890,43.1604,878.078,2.987,26.95,2104.358,18.921,0.583,18.321,-646.164,-219.359,-1990.647,Lauren Peel
BIOT_7097_EGMT_005_RIG2,5,RIG2,Egmont,Ile Sudest,06 41.831,71 23.162,10.0 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,,21425,29.633,2343.419,42.861,219.336,7587.512,24.548,13.502,8.899,2922.795,1180.78,-6901.693,Lauren Peel
BIOT_7097_EGMT_005_RIG2,5,RIG2,Egmont,Ile Sudest,06 41.831,71 23.162,10.0 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,,25551,31.9275,2394.354,94.794,98.509,9288.053,14.671,38.344,12.214,-2069.482,1118.424,-8985.226,Lauren Peel
BIOT_7097_EGMT_005_RIG2,5,RIG2,Egmont,Ile Sudest,06 41.831,71 23.162,10.0 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,,19999,28.84,1598.572,32.375,40.763,6886.08,6.987,21.549,5.258,206.015,811.904,-6834.944,Lauren Peel
BIOT_7097_EGMT_005_RIG2,5,RIG2,Egmont,Ile Sudest,06 41.831,71 23.162,10.0 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,,22530,30.2475,3649.049,149.146,34.596,15888.349,5.673,18.197,2.121,-993.754,1216.252,-15810.529,Lauren Peel
BIOT_7097_EGMT_005_RIG2,5,RIG2,Egmont,Ile Sudest,06 41.831,71 23.162,10.0 m,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,Attracted,,21229,29.524,1972.255,28.618,30.293,8166.797,14.96,0.02,4.532,1712.632,1229.514,-7889.979,Lauren Peel
