OpCode,Drop,Region,Island,Rig,Depth_m,Time in,Time out,Wpt#,Lat,Long,Camera Analysed,Bait Bag Lost,Time to bait loss,Final drop time (min),Species List (MaxN)
BIOT_7097_EMGT_001_RIG6,1,Egmont,Ile Sudest,6,10.1,11:13,12:20,105,06 41.933,71 23.605,RHS,Yes,,60,"Carcharhinus amblyrhynchos (4), Nebrius ferrugineus (12)"
BIOT_7097_EGMT_002_RIG5,2,Egmont,Ile Sudest,5,8.5,11:20,12:30,112,06 41.929,71 23.556,LHS,Yes,11.8708,60,"Carcharhinus amblyrhynchos (5), Carcharhinus melanopterus (1), Nebrius ferrugineus (1)"
BIOT_7097_EGMT_003_RIG4,3,Egmont,Ile Sudest,4,10.2,11:29,12:40,124,06 41.925,71 23.428,LHS,No,,60,Carcharhinus amblyrhynchos (11)
BIOT_7097_EGMT_004_RIG3,4,Egmont,Ile Sudest,3,9.9,11:37,12:50,125,06 41.866,71 23.298,LHS,No,,60,"Carcharhinus amblyrhynchos (5), Triaenodon obesus (1)"
BIOT_7097_EGMT_005_RIG2,5,Egmont,Ile Sudest,2,10,11:51,13:00,126,06 41.831,71 23.162,LHS,Yes,2.6532,56.6825,"Carcharhinus amblyrhynchos (7), Carcharhinus melanopterus (1), Triaenodon obesus (1), Nebrius ferrugineus (1)"
BIOT_7097_PBAN_006_SOUTH_RIG2,6,PerosBanhos,Ile Fouquet,2,8,9:27,10:29,128,05 28.007,71 48.992,RHS,No,,60,"Carcharhinus amblyrhynchos (5), Carcharhinus melanopterus (1), Triaenodon obesus (2), Nebrius ferrugineus (1)"
BIOT_7097_PBAN_007_SOUTH_RIG3,7,PerosBanhos,Ile Fouquet,3,9.9,9:33,10:33,129,05 28.086,71 48.786,LHS,No,,58.7799,"Carcharhinus amblyrhynchos (1), Triaenodon obesus (1)"
BIOT_7097_PBAN_008_SOUTH_RIG4,8,PerosBanhos,Ile Fouquet,4,11.5,9:38,10:39,130,05 28.130,71 48.568,LHS,Bait consumed,58.5136,58.6665,"Carcharhinus amblyrhynchos (3), Carcharhinus melanopterus (1), Triaenodon obesus (1), Nebrius ferrugineus (1)"
BIOT_7097_PBAN_009_SOUTH_RIG5,9,PerosBanhos,Ile Fouquet,5,10,9:44,10:44,131,05 28.115,71 48.360,LHS,Yes,52.4313,59.8493,"Carcharhinus amblyrhynchos (3), Triaenodon obesus (1), Nebrius ferrugineus (1)"
BIOT_7097_PBAN_010_SOUTH_RIG6,10,PerosBanhos,Ile Fouquet,6,10,9:48,10:49,132,05 28.100,71 48.189,LHS,Yes,12.3857,60,"Carcharhinus amblyrhynchos (2), Carcharhinus melanopterus (2), Triaenodon obesus (2), Nebrius ferrugineus (1)"
BIOT_7097_PBAN_011_SOUTH_RIG6,11,PerosBanhos,Mapou de I'Ile du Coin,6,9.2,11:06,12:08,133,05 28.041,71 47.633,LHS,Yes,22.9585,60,"Carcharhinus amblyrhynchos (3), Triaenodon obesus (1)"
BIOT_7097_PBAN_012_SOUTH_RIG5,12,PerosBanhos,Mapou de I'Ile du Coin,5,8.8,11:13,12:15,134,,,LHS,No,,60,Carcharhinus amblyrhynchos (3)
BIOT_7097_PBAN_013_SOUTH_RIG4,13,PerosBanhos,Mapou de I'Ile du Coin,4,8.5,11:17,12:21,135,05 27.933,71 47.322,RHS,Partially consumed,,60,"Carcharhinus amblyrhynchos (1), Nebrius ferrugineus (1)"
BIOT_7097_PBAN_014_SOUTH_RIG3,14,PerosBanhos,Mapou de I'Ile du Coin,3,8.4,11:22,12:25,136,05 27.869,71 47.169,LHS,Yes,13.454,60,Nebrius ferrugineus (3)
BIOT_7097_PBAN_015_SOUTH_RIG2,15,PerosBanhos,Mapou de I'Ile du Coin,2,8.6,11:25,12:29,137,05 27.818,71 47.010,LHS,No,,60,"Carcharhinus amblyrhynchos (3), Carcharhinus melanopterus (1), Triaenodon obesus (1), Nebrius ferrugineus (1)"
BIOT_7097_PBAN_016_SOUTH_RIG2,16,PerosBanhos,Ile du Coin,2,8.4,12:44,13:43,138,05 27.685,71 46.360,LHS,No,,57.0921,"Carcharhinus amblyrhynchos (3), Triaenodon obesus (1)"
BIOT_7097_PBAN_017_SOUTH_RIG3,17,PerosBanhos,Ile du Coin,3,8.5,12:50,13:53,139,05 27.637,71 46.246,LHS,No,,60,Carcharhinus amblyrhynchos (2)
BIOT_7097_PBAN_018_SOUTH_RIG4,18,PerosBanhos,Ile du Coin,4,9.5,12:57,14:00,140,05 27.612,71 46.145,LHS,Partially consumed,,60,No sharks
BIOT_7097_PBAN_019_SOUTH_RIG5,19,PerosBanhos,Ile du Coin,5,8.4,13:02,14:03,141,05 27.555,71 46.009,LHS,No,,60,"Carcharhinus amblyrhynchos (2), Carcharhinus melanopterus (1)"
BIOT_7097_PBAN_020_SOUTH_RIG6,20,PerosBanhos,Ile du Coin,6,7.2,13:08,,142,05 27.520,71 45.915,LHS,Yes,43.4779,60,"Carcharhinus amblyrhynchos (1), Nebrius ferrugineus (1)"
BIOT_7097_PBAN_021_EAST_RIG2,21,PerosBanhos,North of Petite Ile Coquillage,2,8.8,8:35,9:33,143,05 19.530,71 58.300,LHS,Yes,25.4855,60,"Carcharhinus albimarginatus (1), Carcharhinus amblyrhynchos (2), Triaenodon obesus (1), Nebrius ferrugineus (2)"
BIOT_7097_PBAN_022_EAST_RIG3,22,PerosBanhos,North of Petite Ile Coquillage,3,7,8:40,9:44,144,05 19.363,71 58.276,LHS,No,,60,"Carcharhinus amblyrhynchos (2), Nebrius ferrugineus (1)"
BIOT_7097_PBAN_023_EAST_RIG4,23,PerosBanhos,North of Petite Ile Coquillage,4,8.3,8:45,9:48,145,05 19.167,71 58.341,LHS,No,,60,No sharks
BIOT_7097_PBAN_024_EAST_RIG5,24,PerosBanhos,North of Petite Ile Coquillage,5,7,8:49,9:52,146,05 18.891,71 58.398,LHS,No,,60,Carcharhinus amblyrhynchos (1)
BIOT_7097_PBAN_025_EAST_RIG6,25,PerosBanhos,North of Petite Ile Coquillage,6,7.3,8:52,9:55,147,05 18.836,71 58.470,LHS,No,,60,No sharks
BIOT_7097_PBAN_026_EAST_RIG6,26,PerosBanhos,North of Petite Ile Coquillage,6,7.2,10:01,11:07,152,05 18.544,71 58.586,LHS,Yes,43.5797,60,"Carcharhinus amblyrhynchos (4), Carcharhinus melanopterus (1), Triaenodon obesus (1), Nebrius ferrugineus (1)"
