Filename,Frame,Time (mins),Type,Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),Image row,Image col,OpCode,TapeReader,Depth,Comment,Full Species Name,Family,Genus,Species,Code,Number,Stage,Activity,Comment,Location,Site,Year
MAH00175_R.MP4,2897,1.6111,Point,T1,0.1118,,,,,,,,,,,709,186,BIOT_7097_DOV_1_Egmont_20190317,Lauren Peel,10 m,No LHS footage,Acanthuridae Acanthurus leucosternon,Acanthuridae,Acanthurus,leucosternon,37437054,1,AD,Passing,,Egmont,N Side,2019
MAH00175_R.MP4,3010,1.6739,Point,T1,0.1746,,,,,,,,,,,713,1310,BIOT_7097_DOV_1_Egmont_20190317,Lauren Peel,10 m,No LHS footage,Acanthuridae Acanthurus leucosternon,Acanthuridae,Acanthurus,leucosternon,37437054,1,AD,Passing,,Egmont,N Side,2019
MAH00175_R.MP4,3347,1.8613,Point,T1,0.362,,,,,,,,,,,733,849,BIOT_7097_DOV_1_Egmont_20190317,Lauren Peel,10 m,No LHS footage,Acanthuridae Acanthurus leucosternon,Acanthuridae,Acanthurus,leucosternon,37437054,1,AD,Passing,,Egmont,N Side,2019
MAH00175_R.MP4,3498,1.9453,Point,T1,0.446,,,,,,,,,,,850,1248,BIOT_7097_DOV_1_Egmont_20190317,Lauren Peel,10 m,No LHS footage,Acanthuridae Acanthurus leucosternon,Acanthuridae,Acanthurus,leucosternon,37437054,1,AD,Passing,,Egmont,N Side,2019
MAH00175_R.MP4,3500,1.9464,Point,T1,0.4471,,,,,,,,,,,663,184,BIOT_7097_DOV_1_Egmont_20190317,Lauren Peel,10 m,No LHS footage,Acanthuridae Acanthurus leucosternon,Acanthuridae,Acanthurus,leucosternon,37437054,1,AD,Passing,,Egmont,N Side,2019
MAH00175_R.MP4,3596,1.9998,Point,T1,0.5005,,,,,,,,,,,799,1650,BIOT_7097_DOV_1_Egmont_20190317,Lauren Peel,10 m,No LHS footage,Acanthuridae Acanthurus leucosternon,Acanthuridae,Acanthurus,leucosternon,37437054,1,AD,Passing,,Egmont,N Side,2019
MAH00175_R.MP4,3689,2.0515,Point,T1,0.5522,,,,,,,,,,,792,78,BIOT_7097_DOV_1_Egmont_20190317,Lauren Peel,10 m,No LHS footage,Acanthuridae Acanthurus leucosternon,Acanthuridae,Acanthurus,leucosternon,37437054,1,AD,Passing,,Egmont,N Side,2019
MAH00175_R.MP4,4961,2.7589,Point,T1,1.2596,,,,,,,,,,,584,853,BIOT_7097_DOV_1_Egmont_20190317,Lauren Peel,10 m,No LHS footage,Acanthuridae Acanthurus leucosternon,Acanthuridae,Acanthurus,leucosternon,37437054,1,AD,Passing,,Egmont,N Side,2019
MAH00175_R.MP4,5054,2.8106,Point,T1,1.3113,,,,,,,,,,,639,1183,BIOT_7097_DOV_1_Egmont_20190317,Lauren Peel,10 m,No LHS footage,Acanthuridae Acanthurus leucosternon,Acanthuridae,Acanthurus,leucosternon,37437054,1,AD,Passing,,Egmont,N Side,2019
MAH00175_R.MP4,8534,4.7459,Point,T2,0.0545,,,,,,,,,,,853,487,BIOT_7097_DOV_1_Egmont_20190317,Lauren Peel,10 m,No LHS footage,Acanthuridae Acanthurus leucosternon,Acanthuridae,Acanthurus,leucosternon,37437054,1,AD,Passing,,Egmont,N Side,2019
MAH00175_R.MP4,8748,4.8649,Point,T2,0.1735,,,,,,,,,,,830,1836,BIOT_7097_DOV_1_Egmont_20190317,Lauren Peel,10 m,No LHS footage,Acanthuridae Acanthurus leucosternon,Acanthuridae,Acanthurus,leucosternon,37437054,1,AD,Passing,,Egmont,N Side,2019
MAH00175_R.MP4,8939,4.9711,Point,T2,0.2797,,,,,,,,,,,879,593,BIOT_7097_DOV_1_Egmont_20190317,Lauren Peel,10 m,No LHS footage,Acanthuridae Acanthurus leucosternon,Acanthuridae,Acanthurus,leucosternon,37437054,1,AD,Passing,,Egmont,N Side,2019
