Full Species Name,
Acanthuridae Acanthurus auranticavus,
Acanthuridae Acanthurus leucocheilus,
Acanthuridae Acanthurus leucosternon,
Acanthuridae Acanthurus lineatus,
Acanthuridae Acanthurus nigricauda,
Acanthuridae Acanthurus nigrofuscus,
Acanthuridae Acanthurus olivaceus,
Acanthuridae Acanthurus sp,
Acanthuridae Acanthurus tennentii,
Acanthuridae Acanthurus thompsoni,
Acanthuridae Acanthurus tristis,
Acanthuridae Ctenochaetus sp,
Acanthuridae Ctenochaetus striatus,
Acanthuridae Naso brachycentron,
Acanthuridae Naso brevirostris,
Acanthuridae Naso elegans,
Acanthuridae Naso sp,
Acanthuridae Paracanthurus hepatus,
Acanthuridae unknown sp,
Acanthuridae Zebrasoma desjardinii,
Acanthuridae Zebrasoma scopas,
Aetobatidae Aetobatus ocellatus,
Balistidae Balistapus sp,Maybe
Balistidae Balistapus undulatus,Y
Balistidae Balistoides conspicillum,
Balistidae Balistoides viridescens,Y
Balistidae Melichthys indicus,
Balistidae Melichthys niger,Y
Balistidae Melichthys sp,Maybe
Balistidae Sufflamen bursa,
Balistidae Sufflamen chrysopterum,
Balistidae unknown sp,
Blenniidae Plagiotremus rhinorhynchos,
Blenniidae Plagiotremus tapeinosoma,
Blenniidae unknown sp,
Caesionidae Caesio lunaris,
Caesionidae Caesio teres,
Caesionidae Pterocaesio sp,
Caesionidae Pterocaesio tile,
Carangidae Carangoides sp,
Carangidae Caranx melampygus,
Carcharhinidae Carcharhinus amblyrhynchos,
Carcharhinidae Carcharhinus melanopterus,
Chaetodontidae Chaetodon auriga,Y
Chaetodontidae Chaetodon falcula,
Chaetodontidae Chaetodon guttatissimus,
Chaetodontidae Chaetodon interruptus,
Chaetodontidae Chaetodon kleinii,
Chaetodontidae Chaetodon lineolatus,
Chaetodontidae Chaetodon lunula,
Chaetodontidae Chaetodon madagaskariensis,
Chaetodontidae Chaetodon meyeri,
Chaetodontidae Chaetodon sp,
Chaetodontidae Chaetodon trifascialis,
Chaetodontidae Chaetodon trifasciatus,
Chaetodontidae Forcipiger flavissimus,
Chaetodontidae Hemitaurichthys zoster,
Chaetodontidae Heniochus monoceros,
Cheloniidae Chelonia mydas,
Cirrhitidae Cirrhitus pinnulatus,
Cirrhitidae Paracirrhites arcatus,
Cirrhitidae Paracirrhites forsteri,
Ginglymostomatidae Nebrius ferrugineus,
Gobiidae Amblygobius sp,
Haemulidae Plectorhinchus vittatus,
Holocentridae Myripristis adusta,
Holocentridae Myripristis kuntee,
Holocentridae Myripristis murdjan,
Holocentridae Myripristis sp,
Holocentridae Myripristis violacea,
Holocentridae Neoniphon argenteus,
Holocentridae Neoniphon opercularis,
Holocentridae Neoniphon sammara,
Holocentridae Neoniphon sp,
Holocentridae Sargocentron caudimaculatum,
Holocentridae Sargocentron spiniferum,
Holocentridae unknown sp,
Kyphosidae Kyphosus cinerascens,
Labridae Anampses lineatus,
Labridae Anampses meleagrides,
Labridae Anampses sp,
Labridae Anampses twistii,
Labridae Bodianus axillaris,
Labridae Cheilinus chlorourus,
Labridae Cheilinus fasciatus,
Labridae Cheilinus sp,
Labridae Cheilinus trilobatus,
Labridae Cheilinus undulatus,
Labridae Cirrhilabrus exquisitus,
Labridae Cirrhilabrus sp1,
Labridae Coris aygula,Y
Labridae Coris cuvieri,
Labridae Coris formosa,
Labridae Coris latifasciata,
Labridae Coris sp,
Labridae Epibulus insidiator,
Labridae Gomphosus caeruleus,Y
Labridae Halichoeres hortulanus,
Labridae Halichoeres nebulosus,
Labridae Hemigymnus fasciatus,
Labridae Hemigymnus melapterus,
Labridae Hologymnosus annulatus,
Labridae Labrichthys sp,Maybe
Labridae Labrichthys unilineatus,Y
Labridae Labroides bicolor,
Labridae Labroides dimidiatus,
Labridae Labroides sp,
Labridae Oxycheilinus digrammus,
Labridae Oxycheilinus sp,
Labridae Pseudocoris yamashiroi,
Labridae Pseudodax moluccanus,
Labridae Stethojulis bandanensis,
Labridae Thalassoma amblycephalum,
Labridae Thalassoma hardwicke,
Labridae Thalassoma hebraicum,
Labridae Thalassoma lunare,
Labridae Thalassoma sp,
Labridae unknown sp,
Lethrinidae Gnathodentex aureolineatus,
Lethrinidae Lethrinus erythracanthus,
Lethrinidae Lethrinus sp,
Lethrinidae Monotaxis grandoculis,
Lutjanidae Aphareus furca,
Lutjanidae Aprion virescens,
Lutjanidae Lutjanus bohar,
Lutjanidae Lutjanus fulvus,
Lutjanidae Lutjanus gibbus,
Lutjanidae Lutjanus kasmira,
Lutjanidae Lutjanus monostigma,
Lutjanidae Lutjanus rivulatus,
Lutjanidae Macolor macularis,
Lutjanidae Macolor niger,
Lutjanidae Macolor sp,
Microdesmidae Nemateleotris magnifica,
Microdesmidae Ptereleotris evides,
Microdesmidae Ptereleotris sp,
Microdesmidae unknown sp,
Monacanthidae Amanses scopas,Y
Monacanthidae Cantherhines dumerilii,Y
Monacanthidae Cantherhines pardalis,
Monacanthidae Cantherhines sp,Maybe
Monacanthidae unknown sp,
Mullidae Mulloidichthys flavolineatus,
Mullidae Parupeneus cyclostomus,
Mullidae Parupeneus macronemus,
Mullidae Parupeneus trifasciatus,
Ostraciidae Ostracion sp,
Ostraciidae unknown sp,
Pinguipedidae Parapercis hexophtalma,
Pinguipedidae Parapercis millepunctata,
Pomacanthidae Apolemichthys trimaculatus,
Pomacanthidae Centropyge sp,Maybe
Pomacanthidae Pomacanthus imperator,
Pomacanthidae Pomacanthus sp,Maybe
Pomacanthidae Pygoplites diacanthus,
Pomacanthidae unknown sp,
Pomacentridae Amblyglyphidodon indicus,
Pomacentridae Amphiprion clarkii,
Pomacentridae Chromis fieldi,
Pomacentridae Chromis opercularis,
Pomacentridae Chromis sp,
Pomacentridae Chromis sp1,
Pomacentridae Chromis ternatensis,
Pomacentridae Chromis viridis,
Pomacentridae Chromis weberi,
Pomacentridae Chrysiptera brownriggii,
Pomacentridae Dascyllus aruanus,
Pomacentridae Lepidozygus tapeinosoma,
Pomacentridae Neopomacentrus azysron,
Pomacentridae Plectroglyphidodon dickii,Y
Pomacentridae Pomacentrus caeruleus,
Pomacentridae Pomacentrus sp,Maybe
Pomacentridae Pomacentrus trichourus,
Pomacentridae unknown sp,
Scaridae Cetoscarus ocellatus,
Scaridae Chlorurus capistratoides,
Scaridae Chlorurus enneacanthus,
Scaridae Chlorurus sordidus,Y
Scaridae Chlorurus sp,Maybe
Scaridae Chlorurus strongylocephalus,Y
Scaridae Hipposcarus harid,
Scaridae Scarus caudofasciatus,
Scaridae Scarus frenatus,Y
Scaridae Scarus ghobban,Y
Scaridae Scarus niger,
Scaridae Scarus psittacus,
Scaridae Scarus rubroviolaceus,
Scaridae Scarus scaber,
Scaridae Scarus sp,
Scaridae Scarus tricolor,
Scaridae unknown sp,
Serranidae Aethaloperca rogaa,
Serranidae Cephalopholis argus,
Serranidae Cephalopholis miniata,
Serranidae Cephalopholis nigripinnis,
Serranidae Cephalopholis sp,
Serranidae Epinephelus sp,
Serranidae Epinephelus spilotoceps,
Serranidae Plectropomus areolatus,
Serranidae Plectropomus laevis,
Serranidae Plectropomus sp,
Serranidae unknown sp,
Serranidae Variola louti,
Serranidae Variola sp,
Synodontidae Synodus variegatus,
Tetraodontidae Arothron sp,Maybe
Tetraodontidae Canthigaster valentini,
Zanclidae Zanclus cornutus,Y
