Date,Atoll,Island,Site,Type,Depth (m),GoPro,Time_In,Time_Out,Total_time,Video_length
18-Nov-21,Peros Banhos,Peros Banos,Il Poule Seaward,,10.1,H,12:27,,,
18-Nov-21,Peros Banhos,Peros Banos,Il Poule Seaward,,10.1,B,12:30,,,1.3435
18-Nov-21,Peros Banhos,Peros Banos,Il Poule Seaward,,10,D,12:30,,,1.5050
18-Nov-21,Peros Banhos,Peros Banos,Il Poule Seaward,,9.6,A,12:35,,,1.0543
18-Nov-21,Peros Banhos,Peros Banos,Il Poule Seaward,,10,I,12:38,,,1.3645
18-Nov-21,Peros Banhos,Peros Banos,Il Poule Seaward,,10.3,E,12:39,,,
18-Nov-21,Peros Banhos,Peros Banos,Il Poule Seaward,,9.7,G,12:40,,,1.3319
21-Nov-21,Salomon,Salomon,Il Anglaise Seaward,,8.9,H,10:57,,,1.6313
21-Nov-21,Salomon,Salomon,Il Anglaise Seaward,,9.8,A,10:58,,,1.5247
21-Nov-21,Salomon,Salomon,Il Anglaise Seaward,,10.3,I,10:59,,,1.6533
21-Nov-21,Salomon,Salomon,Il Anglaise Seaward,,9.7,E,11:00,,,1.6529
21-Nov-21,Salomon,Salomon,Il Anglaise Seaward,,10.3,G,11:02,,,
21-Nov-21,Salomon,Salomon,Il Anglaise Seaward,,10.7,D,11:03,,,
21-Nov-21,Salomon,Salomon,Il Anglaise Seaward,,10.9,B,11:03,,,1.4533
21-Nov-21,Salomon,Salomon,Il Anglaise Seaward,,8.7,M-04,11:04,,,
23-Nov-21,Salomon,Salomon,Il Anglaise Lagoon,,28ft,D,10:29,,,1.8170
23-Nov-21,Salomon,Salomon,Il Anglaise Lagoon,,26ft,B,10:30,,,1.7278
23-Nov-21,Salomon,Salomon,Il Anglaise Lagoon,,26ft,I,10:31,,,
23-Nov-21,Salomon,Salomon,Il Anglaise Lagoon,,30ft,A,10:32,,,1.5733
23-Nov-21,Salomon,Salomon,Il Anglaise Lagoon,,30ft,H,10:32,,,1.8160
23-Nov-21,Salomon,Salomon,Il Anglaise Lagoon,,31ft,G,10:33,,,
23-Nov-21,Salomon,Salomon,Il Anglaise Lagoon,,28ft,M-04,10:34,,,
23-Nov-21,Salomon,Salomon,Il Anglaise Lagoon,,29ft,E,10:35,,,1.8552
25-Nov-21,Nelson,Nelson,Nelson,,7.8,D,11:10,,,1.8708
25-Nov-21,Nelson,Nelson,Nelson,,7.4,M-04,11:06,,,
25-Nov-21,Nelson,Nelson,Nelson,,7.5,G,11:07,,,1.7977
25-Nov-21,Nelson,Nelson,Nelson,,7.6,H,11:08,,,
25-Nov-21,Nelson,Nelson,Nelson,,7.3,A,11:09,,,1.5143
25-Nov-21,Nelson,Nelson,Nelson,,7,I,11:10,,,
25-Nov-21,Nelson,Nelson,Nelson,,7,E,11:11,,,1.6518
25-Nov-21,Nelson,Nelson,Nelson,,8,B,11:12,,,1.6867
27-Nov-21,Brothers,Middle Brother,Middle Brother,,8.1,M-04,10:25,,,
27-Nov-21,Brothers,Middle Brother,Middle Brother,,8.4,B,10:26,,,
27-Nov-21,Brothers,Middle Brother,Middle Brother,,9.8,G,10:27,,,1.6572
27-Nov-21,Brothers,Middle Brother,Middle Brother,,9.2,H,10:29,,,2.0435
27-Nov-21,Brothers,Middle Brother,Middle Brother,,8.4,D,10:30,,,
27-Nov-21,Brothers,Middle Brother,Middle Brother,,7.7,I,10:31,,,1.5718
27-Nov-21,Brothers,Middle Brother,Middle Brother,,8.9,A,10:32,,,1.44467
27-Nov-21,Brothers,Middle Brother,Middle Brother,,8.7,E,10:33,,,1.3236
30-Nov-21,Egmont,Egmont,Il Lubine,,9.4,M-04,10:40,,,
30-Nov-21,Egmont,Egmont,Il Lubine,,8.3,A,10:41,,,1.6078
30-Nov-21,Egmont,Egmont,Il Lubine,,8.3,H,10:42,,,1.4027
30-Nov-21,Egmont,Egmont,Il Lubine,,7.9,G,10:43,,,
30-Nov-21,Egmont,Egmont,Il Lubine,,8.6,D,10:44,,,
30-Nov-21,Egmont,Egmont,Il Lubine,,7.7,B,10:45,,,1.6238
30-Nov-21,Egmont,Egmont,Il Lubine,,8.9,I,10:46,,,1.6905
30-Nov-21,Egmont,Egmont,Il Lubine,,9,E,10:47,,,1.7367
1-Nov-21,Egmont,Egmont,Il de rats,,10.1,G,11:01,,,
1-Nov-21,Egmont,Egmont,Il de rats,,10.3,I,11:02,,,1.6322
1-Nov-21,Egmont,Egmont,Il de rats,,10.1,M-04,11:03,,,
1-Nov-21,Egmont,Egmont,Il de rats,,9.8,H,11:04,,,1.7100
1-Nov-21,Egmont,Egmont,Il de rats,,9.5,E,11:05,,,2.0240
1-Nov-21,Egmont,Egmont,Il de rats,,9.7,D,11:06,Last video has a shark!,,
1-Nov-21,Egmont,Egmont,Il de rats,,9.7,B,11:07,,,1.5145
1-Nov-21,Egmont,Egmont,Il de rats,,10.7,A,11:10,,,1.4713
