Name,Date,Expedition,Atoll,Site,Transect,Quadrat,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Row,Column,Label
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,404,659,Macro
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,606,335,Macro
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,220,1126,Macro
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,372,747,*CCAH
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,550,2577,Macro
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,791,974,Macro
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,1192,1302,Macro
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,1095,832,Macro
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,1136,995,Hard
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,998,1513,*CCAH
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,856,1436,*TURFH
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,1136,1856,*TURFH
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,764,1528,Macro
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,864,2382,Macro
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,1241,2551,*EMA
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,1262,2615,*CCAH
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,1304,192,Macro
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,1448,262,Turfsa
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,1533,1723,Macro
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,1536,1571,Hard
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,1399,1448,*EMA
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,1700,1900,Hard
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,1404,2329,*TURFH
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,1356,2365,*TURFH
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,1738,1946,Hard
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,1673,2055,Hard
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,1557,2995,*CCAH
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,1632,2736,*CCAH
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,1515,2579,*CCAH
BIOT21_Egmont_IlLubine_GoProI_IMG_2694.jpeg,2021-11-30,2021,Egmont,Il Lubine,,I,,,,,,,,,,,,1870,257,Sponge
