Date,Island,Site,Name,GPS_south,GPS_east,Compass_bearing,Transect,Transect_placement,Treatment,Treatment_ABC,Tag_number,T_start_depth_ft,T_end_depth_ft,Notes,,,,
3-Mar-19,Egmont,,EGM2,,,0,1,0m,Caged,,1,,,,,,,
3-Mar-19,Egmont,,EGM2,,,0,1,0m,Uncaged,,1,,,,,,,
3-Mar-19,Egmont,,EGM2,,,0,1,5m,Caged,,2,,,,,,,
3-Mar-19,Egmont,,EGM2,,,0,1,5m,Uncaged,,2,,,,,,,
3-Mar-19,Egmont,,EGM2,,,0,1,10m,Caged,,3,,,,,,,
3-Mar-19,Egmont,,EGM2,,,0,1,10m,Uncaged,,3,,,,,,,
3-Mar-19,Egmont,,EGM2,,,0,1,15m,Caged,,4,,,,,,,
3-Mar-19,Egmont,,EGM2,,,0,1,15m,Uncaged,,4,,,,,,,
3-Mar-19,Egmont,,EGM2,,,0,1,20m,Caged,,5,,,,,,,
3-Mar-19,Egmont,,EGM2,,,0,1,20m,Uncaged,,5,,,,,,,
3-Mar-19,Egmont,,EGM2,,,0,1,25m,Caged,,6,,,,,,,
3-Mar-19,Egmont,,EGM2,,,0,1,25m,Uncaged,,6,,,,,,,
3-Mar-19,Egmont,,EGM2,,,0,1,30m,Caged,,7,,,,,,,
3-Mar-19,Egmont,,EGM2,,,0,1,30m,Uncaged,,7,,,,,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,240,1,0m,Caged,,8,28,28,,,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,240,1,0m,Uncaged,,8,28,28,,,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,240,1,0m,Partial,,8,28,28,,,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,240,1,5m,Caged,,9,28,28,,,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,240,1,5m,Uncaged,,9,28,28,,,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,240,1,10m,Caged,,10,28,28,,,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,240,1,10m,Uncaged,,10,28,28,,,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,240,1,15m,Caged,,11,28,28,,,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,240,1,15m,Uncaged,,11,28,28,,,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,240,1,15m,Partial,,11,28,28,,,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,240,1,20m,Caged,,12,28,28,,,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,240,1,20m,Uncaged,,12,28,28,,,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,240,1,25m,Caged,,13,28,28,,,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,240,1,25m,Uncaged,,13,28,28,,,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,240,1,30m,Caged,,14,28,28,lost tag 14,,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,240,1,30m,Uncaged,,14,28,28,lost tag 14,,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,240,1,30m,Partial,,14,28,28,lost tag 14,,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,150,2,0m,Caged,,15,29,27,,,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,150,2,0m,Uncaged,,15,29,27,,,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,150,2,0m,Partial,,15,29,27,,,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,150,2,5m,Caged,,16,29,27,lost tag 16,,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,150,2,5m,Uncaged,,16,29,27,lost tag 16,,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,150,2,10m,Caged,,17,29,27,,,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,150,2,10m,Uncaged,,17,29,27,,,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,150,2,15m,Caged,,18,29,27,has tile 19a (uncaged),,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,150,2,15m,Uncaged,,18,29,27,,,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,150,2,15m,Partial,,18,29,27,,,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,150,2,20m,Caged,,19,29,27,"lost tag 19, has tile 18a (uncaged)",,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,150,2,20m,Uncaged,,19,29,27,"lost tag 19, has tile 18a (uncaged)",,,,
4-Mar-19,Peros Banos,Il Poule Lagoon,SWPB5,,,150,2,20m,Partial,,19,29,27,"lost tag 19, has tile 18a (uncaged)",,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,30,1,0m,Caged,,21,,33,,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,30,1,0m,Uncaged,,21,,33,,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,30,1,0m,Partial,,21,,33,,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,30,1,5m,Caged,,20,,33,,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,30,1,5m,Uncaged,,20,,33,,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,30,1,10m,Caged,,22,,33,,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,30,1,10m,Uncaged,,22,,33,,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,30,1,10m,Partial,,22,,33,,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,30,1,15m,Caged,,23,,33,,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,30,1,15m,Uncaged,,23,,33,,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,30,1,15m,Partial,,23,,33,,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,30,1,20m,Caged,,24,,33,,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,30,1,20m,Uncaged,,24,,33,,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,30,1,25m,Caged,,25,,33,,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,30,1,25m,Uncaged,,25,,33,,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,25,2,0m,Caged,,26,33,,The second transect starts more than 10m after T1 because of Ignes/Chris's experiment inbetween,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,25,2,0m,Uncaged,,26,33,,The second transect starts more than 10m after T1 because of Ignes/Chris's experiment inbetween,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,25,2,0m,Partial,,26,33,,The second transect starts more than 10m after T1 because of Ignes/Chris's experiment inbetween,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,25,2,5m,Caged,,27,33,,The second transect starts more than 10m after T1 because of Ignes/Chris's experiment inbetween,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,25,2,5m,Uncaged,,27,33,,The second transect starts more than 10m after T1 because of Ignes/Chris's experiment inbetween,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,25,2,10m,Caged,,28,33,,The second transect starts more than 10m after T1 because of Ignes/Chris's experiment inbetween,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,25,2,10m,Uncaged,,28,33,,The second transect starts more than 10m after T1 because of Ignes/Chris's experiment inbetween,,,,
6-Mar-19,Peros Banos,Il Poule Outside,SWPB6,,,25,2,15m,Caged,,29,33,,The second transect starts more than 10m after T1 because of Ignes/Chris's experiment inbetween,,,,
