Date,Island,Site,Tile,Treatment,Treatment_ABC,Tile_side?,Tube_ID,Diameter,Diameter_mm,Notes,Is it a coral?,Rachel's opinion,Rachel's notes,Final Decision,Coral_size_bin,
15-Nov-21,Peros Banos,Il Poule Lagoon,8,Uncaged,A,Top?,1,6mm,6,Acropora? No picture of label for the first few photos,Y,,,Y,small,
15-Nov-21,Peros Banos,Il Poule Lagoon,8,Uncaged,A,Bottom?,2,3.5cm,35,Porites?,Y,,,Y,large,
15-Nov-21,Peros Banos,Il Poule Lagoon,8,Partial,,Bottom?,3,3mm,3,bigger purple coral,N?,Y,Corals before 005 are unlabeled - assuming 3 is the 3rd unique coral. Y - You can see the symmetrical polyps here!,Y,small,
15-Nov-21,Peros Banos,Il Poule Lagoon,8,Caged,,,None,,,,N,,,N,,
15-Nov-21,Peros Banos,Il Poule Lagoon,9,Uncaged,,,None,,,,N,,,N,,
15-Nov-21,Peros Banos,Il Poule Lagoon,10,Uncaged,,,None,,,,,,,,,
15-Nov-21,Peros Banos,Il Poule Lagoon,10,Caged,,,None,,,,,,,,,
15-Nov-21,Peros Banos,Il Poule Lagoon,11,Uncaged,,Side,8,3mm,3,Favites?,Y,,,Y,small,
15-Nov-21,Peros Banos,Il Poule Lagoon,11,Uncaged,,Bottom,9,2cm,20,Montipora or Porites,Y,,,Y,medium,
15-Nov-21,Peros Banos,Il Poule Lagoon,11,Partial,,Bottom,10,2mm,2,Favites?,Y,,,Y,small,
15-Nov-21,Peros Banos,Il Poule Lagoon,11,Caged,,,None,,,,,,,,,
15-Nov-21,Peros Banos,Il Poule Lagoon,12,Uncaged,,Bottom,11,2.5mm,2.5,Montipora or Porites?,Y,,,Y,small,
15-Nov-21,Peros Banos,Il Poule Lagoon,12,Caged,,Side/Bottom,12,8mm,8,,?,Y,"Not the white part - the dark brown underneath the white looks coralline, similar to 11. Hard to tell without seeing symmetry in the bumps/septa.",Y,small,
16-Nov-21,Peros Banos,Il Poule Lagoon,13,Uncaged,,Bottom,13,3mm,3,Favites? ,Y,,,Y,small,
16-Nov-21,Peros Banos,Il Poule Lagoon,13,Uncaged,,Bottom,14,1.3cm,13,Monitpora?,Y,,,Y,medium,
16-Nov-21,Peros Banos,Il Poule Lagoon,13,Caged,,,None,,,,,,,,,
16-Nov-21,Peros Banos,Il Poule Lagoon,15,Partial,,Side/Top,15,1cm,10,?,N?,Y,"There are two distinct photos under 15 - the bright white, circular one (second photo) is not a coral, the darker white one (first photo) looks like a coral.",Y,medium,
16-Nov-21,Peros Banos,Il Poule Lagoon,15,Uncaged,,,None,,,,,,,,,
16-Nov-21,Peros Banos,Il Poule Lagoon,15,Caged,,,None,,,,,,,,,
16-Nov-21,Peros Banos,Il Poule Lagoon,16,Uncaged,,,None,,,"small white organisms, possibly a coral, on the bottom, took a photo",,,,,,
16-Nov-21,Peros Banos,Il Poule Lagoon,16,Caged,,,None,,,,,,,,,
16-Nov-21,Peros Banos,Il Poule Lagoon,17,Uncaged,,,None,,,,N?,N,"Bryozoan, Lichenopora sp., like this: http://www.underwaterkwaj.com/uw-misc/bryozoan/Lichenopora-sp1.htm",N,,
16-Nov-21,Peros Banos,Il Poule Lagoon,17,Caged,,,None,,,,N?,N,Kinda hard to see past the water reflection. I think N.,N,,
16-Nov-21,Peros Banos,Il Poule Lagoon,18,Uncaged,,,None,,,,N? Same as 16,N,,N,,
16-Nov-21,Peros Banos,Il Poule Lagoon,18,Partial,,,None,,,,,,,,,
16-Nov-21,Peros Banos,Il Poule Lagoon,18,Caged,,,None,,,,,,,,,
16-Nov-21,Peros Banos,Il Poule Lagoon,19,Uncaged,,,None,,,,,,,,,
16-Nov-21,Peros Banos,Il Poule Lagoon,19,Caged,,,None,,,,,,,,,
16-Nov-21,Peros Banos,Il Poule Lagoon,14,Partial,,,None,,,,,,,,,
16-Nov-21,Peros Banos,Il Poule Lagoon,14,Uncaged,,,None,,,,,,,,,
16-Nov-21,Peros Banos,Il Poule Lagoon,19,Partial,,Bottom/side,21,3cm,30,,Y,,,Y,large,
16-Nov-21,Peros Banos,Il Poule Lagoon,19,Partial,,Top,22,7X3cm,,Echinopora sp. (Lamella?),Y,,,Y,large,
17-Nov-21,Peros Banos,Il Poule Seaward,26,Uncaged,,,None,,,bite marks on top and side,,,,,,
17-Nov-21,Peros Banos,Il Poule Seaward,26,Partial,,Top/side,23,2.5cm,25,,Y,,,Y,large,
17-Nov-21,Peros Banos,Il Poule Seaward,26,Partial,,Side,24,1.5cm,14,Branching (pocillopora?),Y,,,Y,medium,
17-Nov-21,Peros Banos,Il Poule Seaward,26,Caged,,,None,,,tons of sponges,,,,,,
17-Nov-21,Peros Banos,Il Poule Seaward,27,Uncaged,,,None,,,hydroids on sides,,,,,,
17-Nov-21,Peros Banos,Il Poule Seaward,27,Caged,,,None,,,,N,,,N,,
17-Nov-21,Peros Banos,Il Poule Seaward,28,Uncaged,,,None,,,bite marks along sides,,,,,,
17-Nov-21,Peros Banos,Il Poule Seaward,28,Caged,,,None,,,lots of sponges on the bottom,,,,,,
17-Nov-21,Peros Banos,Il Poule Seaward,29,Uncaged,,,None,,,,,,,,,
17-Nov-21,Peros Banos,Il Poule Seaward,29,Partial,,,None,,,,N,,,N,,
17-Nov-21,Peros Banos,Il Poule Seaward,30,Uncaged,,Bottom/side,27,3cm,30,"definitely coral, lots of CCA",Y,,,Y,large,
17-Nov-21,Peros Banos,Il Poule Seaward,31,Uncaged,,,None,,,,N?,N,Contrast with branching coral in 24,N,,
17-Nov-21,Peros Banos,Il Poule Seaward,31,Caged,,,None,,,,,,,,,
17-Nov-21,Peros Banos,Il Poule Seaward,25,Uncaged,,,None,,,,,,,,,
17-Nov-21,Peros Banos,Il Poule Seaward,25,Caged,,,None,,,,,,,,,
17-Nov-21,Peros Banos,Il Poule Seaward,24,Uncaged,,Bottom/side,29,2cm,20,,Y,,,Y,medium,
17-Nov-21,Peros Banos,Il Poule Seaward,24,Caged,,,None,,,lots of turf and macroalgae,,,,,,
17-Nov-21,Peros Banos,Il Poule Seaward,23,Uncaged,,Side/bottom,30,5 X 1.5cm,,Gardinerosereis or Psammocora?,Y,,,Y,medium,
17-Nov-21,Peros Banos,Il Poule Seaward,23,Partial,,,None,,,,,,,,,
17-Nov-21,Peros Banos,Il Poule Seaward,23,Caged,,,None,,,,N?,N,,N,,
18-Nov-21,Peros Banos,Il Poule Seaward,22,Uncaged,,,None,,,,,,,,,
18-Nov-21,Peros Banos,Il Poule Seaward,22,Partial,,Top,135,,,Not really in a tube but found these corals with Mica on the dried tile,,,,,,
18-Nov-21,Peros Banos,Il Poule Seaward,22,Caged,,,None,,,very overgrown (tops),,,,,,
18-Nov-21,Peros Banos,Il Poule Seaward,20,Uncaged,,Side/bottom,32,2.5cm,25,monitpora or porites,Y,,,Y,large,
18-Nov-21,Peros Banos,Il Poule Seaward,20,Caged,,,None,,,,,,,,,
18-Nov-21,Peros Banos,Il Poule Seaward,21,Uncaged,,,None,,,,,,,,,
18-Nov-21,Peros Banos,Il Poule Seaward,21,Partial,,,None,,,,,,,,,
18-Nov-21,Peros Banos,Il Poule Seaward,21,Caged,,,None,,,,,,,,,
20-Nov-21,Salomon,Il Anglaise Seaward,32,Uncaged,,,None,,,,,,,,,
20-Nov-21,Salomon,Il Anglaise Seaward,32,Partial,,,None,,,,,,,,,
20-Nov-21,Salomon,Il Anglaise Seaward,32,Caged,,,None,,,,,,,,,
20-Nov-21,Salomon,Il Anglaise Seaward,33,Uncaged,,Bottom/side,33,1.5cm,15,Pavona cactus? (or Leptosterias?),Y,,,Y,medium,
20-Nov-21,Salomon,Il Anglaise Seaward,34,Uncaged,,Bottom/side,34,6 X 1.5cm,,monitpora or porites,Y,,,Y,large,
20-Nov-21,Salomon,Il Anglaise Seaward,34,Caged,,Top,35,2.5cm,25,Pocillopora,Y,,,Y,large,
20-Nov-21,Salomon,Il Anglaise Seaward,35,Uncaged,,,None,,,,,,,,,
20-Nov-21,Salomon,Il Anglaise Seaward,35,Partial,,Top/side,37,3 X 2cm,,Montipora,Y,,,Y,large,
20-Nov-21,Salomon,Il Anglaise Seaward,35,Caged,,Top/side,38,2.5 X 2cm,,Encrusting coral,Y,,,Y,large,
20-Nov-21,Salomon,Il Anglaise Seaward,36,Uncaged,,,None,,,,,,,,,
20-Nov-21,Salomon,Il Anglaise Seaward,36,Partial,,Top,40,2cm,20,coral? Tube 39 had ethanol put in it so we threw it away ,Y?,,Mislabeled? There is no 40 label,Y?,medium,
20-Nov-21,Salomon,Il Anglaise Seaward,36,Caged,,Bottom,41,5 X 2.7cm,,,Y,,,Y,large,
20-Nov-21,Salomon,Il Anglaise Seaward,37,Uncaged,,bottom/side,42,2.5X1cm,,Montipora?,Y,,,Y,large,
20-Nov-21,Salomon,Il Anglaise Seaward,37,Uncaged,,Bottom,43,2mm,2,,Y?,Y,Best guess,Y,small,
20-Nov-21,Salomon,Il Anglaise Seaward,37,Caged,,Side,44,2.5 X 1.5cm,,,Y,,,Y,large,
20-Nov-21,Salomon,Il Anglaise Seaward,37,Caged,,Side,45,1.5cm,15,,Y,,,Y,medium,
20-Nov-21,Salomon,Il Anglaise Seaward,38,Uncaged,,,None,,,,,,,,,
20-Nov-21,Salomon,Il Anglaise Seaward,38,Partial,,,None,,,,,,,,,
20-Nov-21,Salomon,Il Anglaise Seaward,38,Caged,,,None,,,,,,,,,
20-Nov-21,Salomon,Il Anglaise Seaward,39,Uncaged,,Bottom/side,46,1cm,10,,Y,,,Y,medium,
20-Nov-21,Salomon,Il Anglaise Seaward,39,Caged,,Top,47,2.5cm,25,"juvenile goniastrea retiformis? ( because of the paliforme lobe), next to the giant clam!",Y,,,Y,large,
20-Nov-21,Salomon,Il Anglaise Seaward,41,Uncaged,,,None,,,,,,,,,
20-Nov-21,Salomon,Il Anglaise Seaward,41,Partial,,,None,,,,,,,,,
20-Nov-21,Salomon,Il Anglaise Seaward,41,Caged,,,None,,,,,,,,,
20-Nov-21,Salomon,Il Anglaise Seaward,42,Uncaged,,Side,48,1.3cm,13,,Y,,,Y,medium,
20-Nov-21,Salomon,Il Anglaise Seaward,42,Partial,,,None,,,,,,,,,
20-Nov-21,Salomon,Il Anglaise Seaward,42,Caged,,,None,,,,,,,,,
20-Nov-21,Salomon,Il Anglaise Seaward,43,Uncaged,,Side,49,4mm?,4,covered almost completely by CCA (the coral),Y,,,Y,small,
20-Nov-21,Salomon,Il Anglaise Seaward,43,Caged,,Bottom,50,1cm,10,Fungia?,Y,,,Y,medium,
21-Nov-21,Salomon,Il Anglaise Seaward,33,Caged,,Top,51,1cm X0.7cm,,alveopora??,Y,,,Y,medium,
21-Nov-21,Salomon,Il Anglaise Seaward,33,Caged,,Top,52,0.5cm,5,"fluoresced, coral?",?,Y,Looks like a coral that got eroded,Y,small,
22-Nov-21,Salomon,Il Anglaise Lagoon,44,Uncaged,,Bottom,53,1 X 0.8cm,,acropora?,Y?,Y,,Y,medium,
22-Nov-21,Salomon,Il Anglaise Lagoon,44,Uncaged,,Bottom,54,0.5cm,5,acropora?,Y?,Y,What a cutie,Y,small,
22-Nov-21,Salomon,Il Anglaise Lagoon,44,Uncaged,,Bottom,55,2mm,2,alveopora? Favites?,No photo,,,Y,small,
22-Nov-21,Salomon,Il Anglaise Lagoon,44,Partial,,Bottom,56,2mm,2,Pocillopora,Y?,Y,,Y,small,
22-Nov-21,Salomon,Il Anglaise Lagoon,44,Partial,,Bottom/side,57,1.3 X 1.6cm,,montipora or porites,Y,,,Y,medium,
22-Nov-21,Salomon,Il Anglaise Lagoon,44,Partial,,Bottom/side,58,5 X 1.2cm,,montipora or porites,Y,,,Y,large,
22-Nov-21,Salomon,Il Anglaise Lagoon,44,Caged,,Side,59,1.8 X 1.1 cm,,montipora or porites,Y,,,Y,medium,
22-Nov-21,Salomon,Il Anglaise Lagoon,45,Uncaged,,,None,,,,,,,,,
22-Nov-21,Salomon,Il Anglaise Lagoon,45,Caged,,Side,60,0.8cm,8,acropora?,Y,,,Y,small,
22-Nov-21,Salomon,Il Anglaise Lagoon,45,Caged,,Bottom,61,0.4cm,4,alveopora? Favites?,Y,,,Y,small,
22-Nov-21,Salomon,Il Anglaise Lagoon,46,Uncaged,,,None,,,,,,,,,
22-Nov-21,Salomon,Il Anglaise Lagoon,46,Caged,,,None,,,,,,,,,
22-Nov-21,Salomon,Il Anglaise Lagoon,49,Caged,,,62,1.3 X 1cm,,Montipora or porites,No photo,,,Y,medium,
22-Nov-21,Salomon,Il Anglaise Lagoon,47,Partial,,Bottom,63,0.8 X 0.5cm,,alveopora? Favites?,Y,,,Y,small,
22-Nov-21,Salomon,Il Anglaise Lagoon,47,Caged,,Bottom,64,0.3cm,3,"Forgot to take a photo, same as 48 caged",Y,,,Y,small,
22-Nov-21,Salomon,Il Anglaise Lagoon,48,Uncaged,,Bottom (side??),65,4 X 1.6cm,,montipora or porites,Y,,,Y,large,
22-Nov-21,Salomon,Il Anglaise Lagoon,48,Uncaged,,Bottom (side??),66,2.4 X 1.3cm,,montipora or porites,Y,,,Y,large,
22-Nov-21,Salomon,Il Anglaise Lagoon,48,Partial,,,None,,,,,,,,,
22-Nov-21,Salomon,Il Anglaise Lagoon,48,Caged,,Bottom,66,0.8,,,Y,,,Y,small,
22-Nov-21,Salomon,Il Anglaise Lagoon,48,Caged,,Bottom ,67,,,,Y,,,Y,,
22-Nov-21,Salomon,Il Anglaise Lagoon,49,Uncaged,,,None,,,,,,,,,
22-Nov-21,Salomon,Il Anglaise Lagoon,47,Uncaged,,,None,,,,,,,,,
22-Nov-21,Salomon,Il Anglaise Lagoon,55,Uncaged,,Top/side/bottom,68,6 X 5cm,,large pocillopora damicornis,Y,,,Y,large,
22-Nov-21,Salomon,Il Anglaise Lagoon,55,Caged,,Side/bottom,69,2 X 1.8cm,,Pocillopora?,Y,,,Y,medium,
22-Nov-21,Salomon,Il Anglaise Lagoon,54,Uncaged,,Bottom,70,4mm,4,,No photo,,,Y,small,
22-Nov-21,Salomon,Il Anglaise Lagoon,54,Partial,,,None,,,,,,,,,
